"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Malaria","All cases","Reported cases","N","2013","UK","United Kingdom",1501.000000000,""
"Malaria","All cases","Reported cases","N","2014","AT","Austria",68.000000000,""
"Malaria","All cases","Reported cases","N","2014","BE","Belgium",235.000000000,""
"Malaria","All cases","Reported cases","N","2014","BG","Bulgaria",10.000000000,""
"Malaria","All cases","Reported cases","N","2014","CY","Cyprus",8.000000000,""
"Malaria","All cases","Reported cases","N","2014","CZ","Czechia",30.000000000,""
"Malaria","All cases","Reported cases","N","2014","DE","Germany",1007.000000000,""
"Malaria","All cases","Reported cases","N","2014","DK","Denmark",102.000000000,""
"Malaria","All cases","Reported cases","N","2014","EE","Estonia",3.000000000,""
"Malaria","All cases","Reported cases","N","2014","EL","Greece",38.000000000,""
"Malaria","All cases","Reported cases","N","2014","ES","Spain",688.000000000,""
"Malaria","All cases","Reported cases","N","2014","EU27_21","EU (without UK)",6201.000000000,""
"Malaria","All cases","Reported cases","N","2014","EU27_UK_21","EU (with UK until 2019)",7711.000000000,""
"Malaria","All cases","Reported cases","N","2014","EUEEA30_21","EU/EEA (without UK)",6321.000000000,""
"Malaria","All cases","Reported cases","N","2014","EUEEAUK_21","EU/EEA (with UK until 2019)",7831.000000000,""
"Malaria","All cases","Reported cases","N","2014","FI","Finland",39.000000000,""
"Malaria","All cases","Reported cases","N","2014","FR","France",2299.000000000,""
"Malaria","All cases","Reported cases","N","2014","HR","Croatia",6.000000000,""
"Malaria","All cases","Reported cases","N","2014","HU","Hungary",15.000000000,""
"Malaria","All cases","Reported cases","N","2014","IE","Ireland",79.000000000,""
"Malaria","All cases","Reported cases","N","2014","IT","Italy",705.000000000,""
"Malaria","All cases","Reported cases","N","2014","LT","Lithuania",5.000000000,""
"Malaria","All cases","Reported cases","N","2014","LU","Luxembourg",3.000000000,""
"Malaria","All cases","Reported cases","N","2014","LV","Latvia",6.000000000,""
"Malaria","All cases","Reported cases","N","2014","MT","Malta",3.000000000,""
"Malaria","All cases","Reported cases","N","2014","NL","Netherlands",276.000000000,""
"Malaria","All cases","Reported cases","N","2014","NO","Norway",120.000000000,""
"Malaria","All cases","Reported cases","N","2014","PL","Poland",19.000000000,""
"Malaria","All cases","Reported cases","N","2014","PT","Portugal",144.000000000,""
"Malaria","All cases","Reported cases","N","2014","RO","Romania",47.000000000,""
"Malaria","All cases","Reported cases","N","2014","SE","Sweden",354.000000000,""
"Malaria","All cases","Reported cases","N","2014","SI","Slovenia",7.000000000,""
"Malaria","All cases","Reported cases","N","2014","SK","Slovakia",5.000000000,""
"Malaria","All cases","Reported cases","N","2014","UK","United Kingdom",1510.000000000,""
"Malaria","All cases","Reported cases","N","2015","AT","Austria",81.000000000,""
"Malaria","All cases","Reported cases","N","2015","BE","Belgium",276.000000000,""
"Malaria","All cases","Reported cases","N","2015","BG","Bulgaria",20.000000000,""
"Malaria","All cases","Reported cases","N","2015","CY","Cyprus",3.000000000,""
"Malaria","All cases","Reported cases","N","2015","CZ","Czechia",29.000000000,""
"Malaria","All cases","Reported cases","N","2015","DE","Germany",1061.000000000,""
"Malaria","All cases","Reported cases","N","2015","DK","Denmark",101.000000000,""
"Malaria","All cases","Reported cases","N","2015","EE","Estonia",4.000000000,""
"Malaria","All cases","Reported cases","N","2015","EL","Greece",84.000000000,""
"Malaria","All cases","Reported cases","N","2015","ES","Spain",713.000000000,""
"Malaria","All cases","Reported cases","N","2015","EU27_21","EU (without UK)",6929.000000000,""
"Malaria","All cases","Reported cases","N","2015","EU27_UK_21","EU (with UK until 2019)",8326.000000000,""
"Malaria","All cases","Reported cases","N","2015","EUEEA30_21","EU/EEA (without UK)",7023.000000000,""
"Malaria","All cases","Reported cases","N","2015","EUEEAUK_21","EU/EEA (with UK until 2019)",8420.000000000,""
"Malaria","All cases","Reported cases","N","2015","FI","Finland",39.000000000,""
"Malaria","All cases","Reported cases","N","2015","FR","France",2504.000000000,""
"Malaria","All cases","Reported cases","N","2015","HR","Croatia",7.000000000,""
"Malaria","All cases","Reported cases","N","2015","HU","Hungary",12.000000000,""
"Malaria","All cases","Reported cases","N","2015","IE","Ireland",82.000000000,""
"Malaria","All cases","Reported cases","N","2015","IT","Italy",706.000000000,""
"Malaria","All cases","Reported cases","N","2015","LT","Lithuania",8.000000000,""
"Malaria","All cases","Reported cases","N","2015","LU","Luxembourg",2.000000000,""
"Malaria","All cases","Reported cases","N","2015","LV","Latvia",1.000000000,""
"Malaria","All cases","Reported cases","N","2015","MT","Malta",7.000000000,""
"Malaria","All cases","Reported cases","N","2015","NL","Netherlands",680.000000000,""
"Malaria","All cases","Reported cases","N","2015","NO","Norway",94.000000000,""
"Malaria","All cases","Reported cases","N","2015","PL","Poland",29.000000000,""
"Malaria","All cases","Reported cases","N","2015","PT","Portugal",195.000000000,""
"Malaria","All cases","Reported cases","N","2015","RO","Romania",30.000000000,""
"Malaria","All cases","Reported cases","N","2015","SE","Sweden",250.000000000,""
"Malaria","All cases","Reported cases","N","2015","SI","Slovenia",5.000000000,""
"Malaria","All cases","Reported cases","N","2015","SK","Slovakia",0.000000000,""
"Malaria","All cases","Reported cases","N","2015","UK","United Kingdom",1397.000000000,""
"Malaria","All cases","Reported cases","N","2016","AT","Austria",82.000000000,""
"Malaria","All cases","Reported cases","N","2016","BE","Belgium",311.000000000,""
"Malaria","All cases","Reported cases","N","2016","BG","Bulgaria",28.000000000,""
"Malaria","All cases","Reported cases","N","2016","CY","Cyprus",1.000000000,""
"Malaria","All cases","Reported cases","N","2016","CZ","Czechia",38.000000000,""
"Malaria","All cases","Reported cases","N","2016","DE","Germany",962.000000000,""
"Malaria","All cases","Reported cases","N","2016","DK","Denmark",102.000000000,""
"Malaria","All cases","Reported cases","N","2016","EE","Estonia",1.000000000,""
"Malaria","All cases","Reported cases","N","2016","EL","Greece",121.000000000,""
"Malaria","All cases","Reported cases","N","2016","ES","Spain",761.000000000,""
"Malaria","All cases","Reported cases","N","2016","EU27_21","EU (without UK)",6581.000000000,""
"Malaria","All cases","Reported cases","N","2016","EU27_UK_21","EU (with UK until 2019)",8155.000000000,""
"Malaria","All cases","Reported cases","N","2016","EUEEA30_21","EU/EEA (without UK)",6658.000000000,""
"Malaria","All cases","Reported cases","N","2016","EUEEAUK_21","EU/EEA (with UK until 2019)",8232.000000000,""
